locus_tag,ob,origin?,gene_name,function,logFC,cutoff,logCPM,PValue,q.value,sig
BW25113_0001,1,no,thrL,thr operon leader peptide,-0.329197994,no,4.874305043,0.457391865,0.727292279,no
BW25113_0002,2,no,thrA,Bifunctional aspartokinase/homoserine dehydrogenase 1,-0.166026381,no,9.089517601,0.220937672,0.502947545,no
BW25113_0003,3,no,thrB,homoserine kinase,0.132237497,no,7.633785033,0.457822284,0.727292279,no
BW25113_0004,4,no,thrC,L-threonine synthase,0.100702129,no,8.126466976,0.552009133,0.790859604,no
BW25113_0005,5,no,yaaX,DUF2502 family putative periplasmic protein,-0.268293985,no,5.734688062,0.457117443,0.727292279,no
BW25113_0006,6,no,yaaA,"peroxide resistance protein, lowers intracellular iron",-0.317861607,no,7.628137521,0.080366944,0.266304667,no
BW25113_0007,7,no,yaaJ,putative transporter,-0.152232298,no,8.365664709,0.328209136,0.621886656,no
BW25113_0008,8,no,talB,transaldolase B,-0.1546325,no,8.506892089,0.278431265,0.569385242,no
BW25113_0009,9,no,mog,molybdochelatase incorporating molybdenum into molybdopterin,-0.000393554,no,7.432401536,1,1,no
BW25113_0010,10,no,satP,succinate-acetate transporter,-0.152271542,no,7.248585006,0.463184469,0.732425622,no
BW25113_0011,11,no,yaaW,UPF0174 family protein,-0.384592278,no,7.047425536,0.100056907,0.307619204,no
BW25113_0013,12,no,yaaI,UPF0412 family protein,-0.720553994,no,7.021510069,0.001133337,0.007392148,yes
BW25113_0014,13,no,dnaK,"chaperone Hsp70, with co-chaperone DnaJ",0.006285575,no,4.360800188,1,1,no
BW25113_0015,14,no,dnaJ,"chaperone Hsp40, DnaK co-chaperone",-0.792488519,no,7.713784715,7.50E-06,6.39E-05,yes
BW25113_0018,15,no,mokC,"regulatory protein for HokC, overlaps CDS of hokC",-0.341148182,no,7.75042286,0.062406604,0.220435651,no
BW25113_4412,16,no,hokC,"toxic membrane protein, small",-0.530736407,no,6.18667762,0.128833392,0.363590279,no
BW25113_4413,17,no,sokC,,-0.430484439,no,6.180473382,0.178942587,0.446408685,no
BW25113_0019,18,no,nhaA,sodium-proton antiporter,-0.581589934,no,7.014187865,0.011201603,0.056805024,no
BW25113_0020,19,no,nhaR,transcriptional activator of nhaA,-0.460466893,no,7.986917096,0.004123522,0.023982501,yes
BW25113_0024,20,no,yaaY,uncharacterized protein,-0.739179361,no,5.233063121,0.073615987,0.249632066,no
BW25113_0028,21,no,fkpB,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),-0.405467589,no,6.03930638,0.216500416,0.497760488,no
BW25113_0030,22,no,rihC,ribonucleoside hydrolase 3,-0.508112165,no,7.261272444,0.012064195,0.060283878,no
BW25113_0032,23,no,carA,"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase",-0.632799111,no,6.933677291,0.007750875,0.04167823,yes
BW25113_0033,24,no,carB,carbamoyl-phosphate synthase large subunit,0.14573614,no,8.439906309,0.341264216,0.636420422,no
BW25113_0034,25,no,caiF,cai operon transcriptional activator,0.18330431,no,7.779929551,0.305550352,0.601283826,no
BW25113_0035,26,no,caiE,stimulator of CaiD and CaiB enzyme activities,-0.390358619,no,6.66959917,0.112926648,0.333086879,no
BW25113_0036,27,no,caiD,carnitinyl-CoA dehydratase,0.258573526,no,7.5315856,0.17325127,0.436749183,no
BW25113_0037,28,no,caiC,putative crotonobetaine/carnitine-CoA ligase,0.026440842,no,8.540715469,0.851463565,0.948174471,no
BW25113_0038,29,no,caiB,crotonobetainyl CoA:carnitine CoA transferase,-0.14110487,no,8.023847072,0.408135926,0.691695992,no
BW25113_0039,30,no,caiA,"crotonobetaine reductase subunit II, FAD-binding",-0.332814886,no,7.790513277,0.06389627,0.224841451,no
BW25113_0040,31,no,caiT,putative transporter,-0.257770941,no,9.206161895,0.03573199,0.142927959,no
BW25113_0041,32,no,fixA,anaerobic carnitine reduction putative electron transfer flavoprotein subunit,-0.058077603,no,7.801811689,0.742744372,0.90001791,no
BW25113_0042,33,no,fixB,"putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein",0.077886505,no,7.41518295,0.688475852,0.875024048,no
BW25113_0043,34,no,fixC,putative oxidoreductase,-0.360657063,no,7.023237983,0.100306536,0.30791043,no
BW25113_0044,35,no,fixX,putative 4Fe-4S ferredoxin-type protein,0.224595431,no,5.923996982,0.532996222,0.778785641,no
BW25113_0045,36,no,yaaU,putative transporter,-0.041720039,no,7.947316153,0.831094542,0.939956896,no
BW25113_0046,37,no,kefF,"potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent",-0.178601486,no,7.231720408,0.376869701,0.670097899,no
BW25113_0047,38,no,kefC,potassium:proton antiporter,-0.245544135,no,8.266996996,0.204473969,0.482563492,no
BW25113_0049,39,no,apaH,diadenosine tetraphosphatase,-0.087950168,no,6.007477211,0.800553824,0.925323738,no
BW25113_0050,40,no,apaG,protein associated with Co2+ and Mg2+ efflux,0.068762149,no,6.507033864,0.792902792,0.922582055,no
BW25113_0051,41,no,rsmA,"16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent",0.321740068,no,7.16932523,0.137935904,0.381369503,no
BW25113_0052,42,no,pdxA,"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent",-0.508354927,no,2.548605324,0.527886018,0.77444356,no
BW25113_0053,43,no,surA,peptidyl-prolyl cis-trans isomerase (PPIase),0.131117666,no,5.034652516,0.802855166,0.926189597,no
BW25113_0055,44,no,djlA,"membrane-anchored DnaK co-chaperone, DNA-binding protein",-0.012248481,no,8.30278263,0.939370271,0.98651913,no
BW25113_4659,45,no,yabP,pseudogene,-0.242273271,no,11.56646584,0.036054939,0.143926028,no
